community,parcels,homesteads,homestead_pct,median_assessed,pct_owe_no_nonschool_2027,pct_owe_no_nonschool_2028,median_saving_2028,tax_district,nonschool_millage_2025,school_millage_2025
Gran Paradiso,1948,1212,62.2,340759,5.3,30.1,1671,City of North Port,8.4154,6.095
IslandWalk,2396,1764,73.6,351791,2.8,14.6,1671,City of North Port,8.4154,6.095
Palmero,310,127,41.0,404987,2.4,18.9,1068,Sarasota County (unincorporated),5.3787,6.095
Talon Preserve,719,351,48.8,526100,4.6,7.7,1068,Sarasota County (unincorporated),5.3787,6.095
Grand Palm,1008,718,71.2,350809,2.9,18.4,1068,Sarasota County (unincorporated),5.3787,6.095
Sarasota National,1535,936,61.0,384914,2.4,7.1,1068,Sarasota County (unincorporated),5.3787,6.095
Renaissance,688,487,70.8,347600,4.9,22.6,1671,City of North Port,8.4154,6.095
Sunstone,612,144,23.5,325100,5.6,14.6,1671,City of North Port,8.4154,6.095
Brightmore,419,103,24.6,363400,6.8,18.4,1671,City of North Port,8.4154,6.095
Sunrise Preserve,407,282,69.3,495622,2.8,6.0,1068,Sarasota County (unincorporated),5.3787,6.095
Gulf Gate Woods,112,84,75.0,262704,1.2,44.0,1095,Sarasota County + Gulf Gate Lighting,5.5158,6.095
